api_name,name_cs,desc_cs,name_en,desc_en,name_de,desc_de,name_pl,desc_pl,name_es,desc_es
ACH_WOODCUTTER,Dřevorubec,Nasbírej celkem 50 dřeva klikáním.,Woodcutter,Click-harvest 50 wood in total.,Holzhacker,Ernte insgesamt 50 Holz per Klick.,Rębacz,Zbierz kliknięciami łącznie 50 drewna.,Cortador de leña,Recoge 50 de madera a golpe de clic en total.
ACH_QUARRYMAN,Kameník,Nasbírej celkem 30 kamene klikáním.,Quarryman,Click-harvest 30 stone in total.,Steinbrecher,Ernte insgesamt 30 Stein per Klick.,Kamieniarz,Zbierz kliknięciami łącznie 30 kamienia.,Cantero,Recoge 30 de piedra a golpe de clic en total.
ACH_SETTLER,Osadník,Dosáhni 15 obyvatel.,Settler,Reach 15 population.,Siedler,Erreiche 15 Bevölkerung.,Osadnik,Osiągnij 15 ludności.,Colono,Alcanza 15 de población.
ACH_TOWNSFOLK,Měšťan,Dosáhni 25 obyvatel.,Townsfolk,Reach 25 population.,Städter,Erreiche 25 Bevölkerung.,Mieszczanie,Osiągnij 25 ludności.,Vecindario,Alcanza 25 de población.
ACH_BUILDER,Stavitel,Postav 10 budov.,Builder,Build 10 buildings.,Erbauer,Bau 10 Gebäude.,Budowniczy,Postaw 10 budynków.,Constructor,Levanta 10 edificios.
ACH_SAWYER,Pilař,Postav pilu.,Sawyer,Build a sawmill.,Säger,Bau ein Sägewerk.,Tracz,Zbuduj tartak.,Serrador,Construye un aserradero.
ACH_SCHOLAR,Učenec,Vyzkoumej mlynářství.,Scholar,Research milling.,Gelehrter,Erforsche das Mahlen.,Uczony,Zbadaj mielenie.,Erudito,Investiga la molienda.
ACH_VETERAN,Vytrvalec,Doraz do 3. herního dne.,Veteran,Reach game day 3.,Veteran,Erreiche Spieltag 3.,Weteran,Dojdź do 3. dnia gry.,Veterano,Llega al día 3 de juego.
ACH_CHRONICLER,Kronikář,Doveď civilizaci do 100. dne.,Chronicler,Reach day 100.,Chronist,Erreiche Tag 100.,Kronikarz,Dojdź do 100. dnia.,Cronista,Llega al día 100.
ACH_ASCENDANT,Vzestoupivší,Proveď první Vzestup.,Ascendant,Perform your first Ascension.,Aufgestiegen,Vollzieh deinen ersten Aufstieg.,Wzniesiony,Wykonaj pierwsze Wzniesienie.,Ascendido,Realiza tu primera Ascensión.
ACH_PRESTIGE_MASTER,Mistr Vzestupu,Vzestup podruhé.,Prestige Master,Ascend a second time.,Meister des Aufstiegs,Steig ein zweites Mal auf.,Mistrz prestiżu,Wznieś się po raz drugi.,Maestro del prestigio,Asciende por segunda vez.
ACH_BRONZE_AGE,Doba bronzová,Vyzkoumej zpracování bronzu.,Bronze Age,Research bronze working.,Bronzezeit,Erforsche die Bronzeverarbeitung.,Epoka brązu,Zbadaj obróbkę brązu.,Edad del Bronce,Investiga el trabajo del bronce.
ACH_IRON_AGE,Doba železná,Vyzkoumej zpracování železa.,Iron Age,Research iron working.,Eisenzeit,Erforsche die Eisenverarbeitung.,Epoka żelaza,Zbadaj obróbkę żelaza.,Edad del Hierro,Investiga el trabajo del hierro.
ACH_INDUSTRIAL_AGE,Průmyslová revoluce,Vyzkoumej parní stroj.,Industrial Revolution,Research steam power.,Industrielle Revolution,Erforsche die Dampfkraft.,Rewolucja przemysłowa,Zbadaj energię pary.,Revolución industrial,Investiga la energía de vapor.
ACH_INFORMATION_AGE,Informační věk,Vyzkoumej elektroniku.,Information Age,Research electronics.,Informationszeitalter,Erforsche die Elektronik.,Epoka informacji,Zbadaj elektronikę.,Era de la información,Investiga la electrónica.
ACH_FUTURE_AGE,Věk budoucnosti,Vyzkoumej jadernou fúzi.,The Future,Research nuclear fusion.,Die Zukunft,Erforsche die Kernfusion.,Przyszłość,Zbadaj fuzję jądrową.,El futuro,Investiga la fusión nuclear.
ACH_GARDENER,Zahradník,Zasaď pět stromů.,Gardener,Plant five trees.,Gärtner,Pflanze fünf Bäume.,Ogrodnik,Zasadź pięć drzew.,Jardinero,Planta cinco árboles.
ACH_FORESTER,Lesník,Zasaď padesát stromů.,Forester,Plant fifty trees.,Förster,Pflanze fünfzig Bäume.,Leśnik,Zasadź pięćdziesiąt drzew.,Guardabosques,Planta cincuenta árboles.
ACH_ARBORIST,Arborista,Zasaď dvě stě padesát stromů.,Arborist,Plant two hundred and fifty trees.,Baumpfleger,Pflanze zweihundertfünfzig Bäume.,Arborysta,Zasadź dwieście pięćdziesiąt drzew.,Arboricultor,Planta doscientos cincuenta árboles.
ACH_LUMBERJACK,Dřevorubec,Nasbírej 1000 dřeva vlastníma rukama.,Lumberjack,"Harvest 1,000 wood by hand.",Holzfäller,Ernte 1 000 Holz von Hand.,Drwal,Zbierz ręcznie 1000 drewna.,Leñador,Recoge 1000 de madera a mano.
ACH_STONECUTTER,Kameník,Nasbírej 500 kamene vlastníma rukama.,Stonecutter,Harvest 500 stone by hand.,Steinmetz,Ernte 500 Stein von Hand.,Kamieniarz z zawodu,Zbierz ręcznie 500 kamienia.,Picapedrero,Recoge 500 de piedra a mano.
ACH_CITY,Město,Dosáhni 250 obyvatel.,City,Reach 250 residents.,Stadt,Erreiche 250 Bewohner.,Miasto,Osiągnij 250 mieszkańców.,Ciudad,Alcanza 250 habitantes.
ACH_METROPOLIS,Velkoměsto,Dosáhni 5 000 obyvatel.,Metropolis,"Reach 5,000 residents.",Metropole,Erreiche 5 000 Bewohner.,Metropolia,Osiągnij 5000 mieszkańców.,Metrópolis,Alcanza 5000 habitantes.
ACH_MEGACITY,Megapole,Dosáhni 100 000 obyvatel.,Megacity,"Reach 100,000 residents.",Megastadt,Erreiche 100 000 Bewohner.,Megamiasto,Osiągnij 100 000 mieszkańców.,Megaciudad,Alcanza 100 000 habitantes.
ACH_DISTRICT,Čtvrť,Postav 50 budov.,District,Build 50 buildings.,Viertel,Bau 50 Gebäude.,Dzielnica,Postaw 50 budynków.,Barrio,Levanta 50 edificios.
ACH_SPRAWL,Aglomerace,Postav 250 budov.,Sprawl,Build 250 buildings.,Ausufernd,Bau 250 Gebäude.,Rozlewisko,Postaw 250 budynków.,Extensión,Levanta 250 edificios.
ACH_WEEK_ONE,První týden,Doveď civilizaci do 7. dne.,Week one,Reach day 7.,Erste Woche,Erreiche Tag 7.,Pierwszy tydzień,Dojdź do 7. dnia.,Primera semana,Llega al día 7.
ACH_MONTH_IN,Zabydleno,Doveď civilizaci do 30. dne.,Settled in,Reach day 30.,Eingelebt,Erreiche Tag 30.,Zadomowiony,Dojdź do 30. dnia.,Ya instalado,Llega al día 30.
ACH_WELL_STOCKED,Plné sklady,Měj v zásobě 1000 prken.,Well stocked,"Hold 1,000 planks in storage.",Gut bevorratet,Halte 1 000 Bretter im Lager.,Dobrze zaopatrzony,Miej 1000 desek w magazynie.,Bien surtido,Ten 1000 tablones en el almacén.
ACH_IRON_RESERVE,Železná rezerva,Měj v zásobě 500 železa.,Iron reserve,Hold 500 iron in storage.,Eisenvorrat,Halte 500 Eisen im Lager.,Zapas żelaza,Miej 500 żelaza w magazynie.,Reserva de hierro,Ten 500 de hierro en el almacén.
ACH_SILICON_VALLEY,Křemíkové údolí,Postav tři továrny na elektroniku.,Silicon valley,Build three electronics fabs.,Silicon Valley,Bau drei Elektronikfabriken.,Dolina krzemowa,Zbuduj trzy fabryki elektroniki.,Valle del silicio,Construye tres fábricas de electrónica.
ACH_POWER_GRID,Rozvodná síť,Postav dvě uhelné elektrárny.,Power grid,Build two coal power plants.,Stromnetz,Bau zwei Kohlekraftwerke.,Sieć energetyczna,Zbuduj dwie elektrownie węglowe.,Red eléctrica,Construye dos centrales de carbón.
ACH_GREEN_POWER,Čistá energie,Postav pět solárních polí.,Clean energy,Build five solar arrays.,Saubere Energie,Bau fünf Solarfelder.,Czysta energia,Zbuduj pięć farm słonecznych.,Energía limpia,Construye cinco campos solares.
ACH_SEAFARER,Mořeplavec,Postav přístav.,Seafarer,Build a harbor.,Seefahrer,Bau einen Hafen.,Żeglarz,Zbuduj port.,Marino,Construye un puerto.
ACH_DEEP_SEA,Dálná plavba,Postav hlubokomořský přístav.,Blue water,Build a deep-sea port.,Blaues Wasser,Bau einen Tiefseehafen.,Błękitna woda,Zbuduj port głębokowodny.,Aguas azules,Construye un puerto de aguas profundas.
ACH_AVIATOR,Letec,Postav letiště.,Aviator,Build an airfield.,Flieger,Bau ein Flugfeld.,Lotnik,Zbuduj lotnisko polowe.,Aviador,Construye un aeródromo.
